n_qubits,n_layers,shots,backend,n_1q,n_2q,n_m,hqc_api,hqc_formula,formula_api_delta_pct,within_budget,budget_tier,bp_safe
2,1,100,helios,6,2,2,6.0,5.72,4.895104895104899,True,1000,True
2,1,100,emulator,6,2,2,nan,5.72,nan,True,10000,True
2,1,500,helios,6,2,2,10.0,8.6,16.279069767441865,True,1000,True
2,1,500,emulator,6,2,2,nan,8.6,nan,True,10000,True
2,1,1000,helios,6,2,2,14.0,12.2,14.754098360655746,True,1000,True
2,1,1000,emulator,6,2,2,nan,12.2,nan,True,10000,True
4,1,100,helios,12,6,4,8.0,6.84,16.959064327485383,True,1000,True
4,1,100,emulator,12,6,4,nan,6.84,nan,True,10000,True
4,1,500,helios,12,6,4,16.0,14.2,12.676056338028175,True,1000,True
4,1,500,emulator,12,6,4,nan,14.2,nan,True,10000,True
4,1,1000,helios,12,6,4,26.0,23.4,11.111111111111118,True,1000,True
4,1,1000,emulator,12,6,4,nan,23.4,nan,True,10000,True
4,2,100,helios,24,9,4,8.0,7.68,4.1666666666666705,True,1000,True
4,2,100,emulator,24,9,4,nan,7.68,nan,True,10000,True
4,2,500,helios,24,9,4,19.0,18.4,3.2608695652173996,True,1000,True
4,2,500,emulator,24,9,4,nan,18.4,nan,True,10000,True
4,2,1000,helios,24,9,4,33.0,31.8,3.773584905660375,True,1000,True
4,2,1000,emulator,24,9,4,nan,31.8,nan,True,10000,True
6,1,100,helios,18,10,6,9.0,7.96,13.06532663316583,True,1000,True
6,1,100,emulator,18,10,6,nan,7.96,nan,True,10000,True
6,1,500,helios,18,10,6,22.0,19.8,11.111111111111107,True,1000,True
6,1,500,emulator,18,10,6,nan,19.8,nan,True,10000,True
6,1,1000,helios,18,10,6,39.0,34.6,12.716763005780344,True,1000,True
6,1,1000,emulator,18,10,6,nan,34.6,nan,True,10000,True
6,2,100,helios,36,15,6,10.0,9.32,7.29613733905579,True,1000,True
6,2,100,emulator,36,15,6,nan,9.32,nan,True,10000,True
6,2,500,helios,36,15,6,28.0,26.6,5.263157894736836,True,1000,True
6,2,500,emulator,36,15,6,nan,26.6,nan,True,10000,True
6,2,1000,helios,36,15,6,50.0,48.2,3.73443983402489,True,1000,True
6,2,1000,emulator,36,15,6,nan,48.2,nan,True,10000,True
8,1,100,helios,24,14,8,10.0,9.08,10.13215859030837,True,1000,True
8,1,100,emulator,24,14,8,nan,9.08,nan,True,10000,True
8,1,500,helios,24,14,8,28.0,25.4,10.236220472440936,True,1000,True
8,1,500,emulator,24,14,8,nan,25.4,nan,True,10000,True
8,1,1000,helios,24,14,8,51.0,45.8,11.353711790393001,True,1000,True
8,1,1000,emulator,24,14,8,nan,45.8,nan,True,10000,True
8,2,100,helios,48,21,8,12.0,10.96,9.489051094890502,True,1000,True
8,2,100,emulator,48,21,8,nan,10.96,nan,True,10000,True
8,2,500,helios,48,21,8,36.0,34.8,3.4482758620689737,True,1000,True
8,2,500,emulator,48,21,8,nan,34.8,nan,True,10000,True
8,2,1000,helios,48,21,8,67.0,64.6,3.7151702786377796,True,1000,True
8,2,1000,emulator,48,21,8,nan,64.6,nan,True,10000,True
